T	kappa0.0	kappa0.5	kappa1.0
2.0	0.9109818359375	0.99279826171875	0.9990675
2.5	0.19513875	0.97954435546875	0.99745888671875
3.0	0.08394283203125	0.95319724609375	0.9946698046875
3.5	0.06131126953125	0.90128080078125	0.99049111328125
4.0	0.05156548828125	0.7637699609375	0.984311953125
4.5	0.0455159765625	0.40362130859375	0.9761903125
5.0	0.04217587890625	0.2234375	0.9649690625
5.5	0.0393469921875	0.1598046484375	0.95090013671875
6.0	0.037483515625	0.12691427734375	0.92956150390625
6.5	0.0362388671875	0.1117041796875	0.91106037109375
7.0	0.03484240234375	0.0995259375	0.8791352734375
7.5	0.03401787109375	0.09304296875	0.837073046875
8.0	0.0333602734375	0.08735068359375	0.79153310546875
8.5	0.0326766796875	0.08281119140625	0.7065335546875
9.0	0.03200908203125	0.07947947265625	0.66088197265625
9.5	0.03149189453125	0.07605611328125	0.56749189453125
10.0	0.03115453125	0.0727363671875	0.49899759765625
