iter	acceptrate	flatness	roundtrips
1.0	0.0137666015625	3.907986328125	0.0
2.0	0.061396484375	2.03921484375	0.0
3.0	0.1036689453125	1.7071552734375002	0.0
4.0	0.11765625	1.583119140625	0.0
5.0	0.157453125	1.6122792968750002	0.0
6.0	0.1635048828125	1.519541015625	0.0
7.0	0.1769560546875	1.708466796875	0.0
8.0	0.2135087890625	2.286375	0.0
9.0	0.227724609375	1.3095263671875002	0.0
10.0	0.2314384765625	1.535671875	0.0
11.0	0.249513671875	1.3809453125	0.0
12.0	0.2489365234375	1.4428125	0.0
13.0	0.2400859375	1.43925	0.0
14.0	0.2353583984375	1.6683984374999998	0.0
15.0	0.2366748046875	1.43532421875	0.0
16.0	0.2271572265625	1.5435625	0.0
17.0	0.215025390625	1.9781835937499999	28.0
18.0	0.2094013671875	1.799306640625	22.0
19.0	0.213634765625	1.82685546875	31.0
20.0	0.2130849609375	1.4865576171875	23.0
