iter	acceptance
1.0	0.7001704
2.0	0.6701752
3.0	0.6571096
4.0	0.661608
5.0	0.6570782
6.0	0.6614748
7.0	0.658503
8.0	0.6571438
9.0	0.6588476
10.0	0.6590682
