x_T	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
-5.049999994795586	0.0	12685.0	23439.0	15348.0	14098.0	18429.0	22295.0	8663.0	29456.0	15729.0
-4.949999994898644	0.0	21280.0	21751.0	14966.0	14456.0	18385.0	23211.0	9167.0	28371.0	15969.0
-4.849999995001702	0.0	34229.0	20009.0	16852.0	14618.0	17527.0	22107.0	9837.0	27345.0	16002.0
-4.749999995104759	0.0	53475.0	20189.0	16855.0	14459.0	18145.0	21627.0	9357.0	28177.0	16583.0
-4.649999995207818	0.0	83787.0	19467.0	17374.0	14203.0	16539.0	23324.0	10591.0	25932.0	14862.0
-4.549999995310875	0.0	130617.0	20084.0	16980.0	13233.0	17430.0	25126.0	9701.0	25472.0	16738.0
-4.449999995413933	10.0	19636.0	21013.0	16329.0	13333.0	17984.0	23497.0	9842.0	26363.0	17245.0
-4.34999999551699	8.0	36749.0	20745.0	17121.0	12959.0	17746.0	24077.0	9721.0	24610.0	18585.0
-4.249999995620048	46.0	9963.0	19526.0	17429.0	12980.0	18580.0	22331.0	9545.0	24658.0	20569.0
-4.149999995723106	7.0	97332.0	19569.0	16675.0	14008.0	19107.0	20647.0	10019.0	23697.0	19571.0
-4.049999995826163	23.0	45169.0	19440.0	16384.0	14517.0	18674.0	20709.0	9949.0	23011.0	19597.0
-3.949999995929221	91.0	16174.0	18605.0	17861.0	14451.0	17725.0	21371.0	10657.0	21101.0	19797.0
-3.849999996032279	105.0	20824.0	18691.0	16204.0	15411.0	17685.0	20472.0	10736.0	21440.0	20019.0
-3.7499999961353367	223.0	13923.0	19204.0	15477.0	16619.0	16507.0	20687.0	11189.0	20626.0	21891.0
-3.649999996238394	265.0	16262.0	18659.0	16097.0	15845.0	17099.0	20784.0	11843.0	19588.0	21777.0
-3.5499999963414517	378.0	16191.0	17966.0	16588.0	16708.0	15263.0	22554.0	11310.0	19891.0	21761.0
-3.449999996444509	440.0	18935.0	17623.0	17965.0	16535.0	14848.0	22599.0	11877.0	18875.0	21263.0
-3.349999996547567	715.0	15838.0	17968.0	17264.0	16781.0	14703.0	23427.0	11506.0	19646.0	20311.0
-3.249999996650625	1050.0	15027.0	17583.0	17526.0	16503.0	16343.0	20454.0	13405.0	17571.0	20310.0
-3.1499999967536825	1295.0	16568.0	16988.0	18878.0	16105.0	15418.0	21491.0	13717.0	17635.0	21142.0
-3.04999999685674	2037.0	14123.0	17331.0	18518.0	15696.0	17138.0	19970.0	13971.0	17542.0	19931.0
-2.949999996959798	2671.0	14526.0	16994.0	18175.0	16255.0	15890.0	20580.0	14223.0	17577.0	19991.0
-2.849999997062856	3378.0	15375.0	15938.0	19638.0	15735.0	15654.0	21445.0	13224.0	19049.0	20194.0
-2.7499999971659133	4286.0	15642.0	15961.0	19671.0	15532.0	15859.0	20916.0	13560.0	18701.0	20097.0
-2.6499999972689707	5489.0	15407.0	16999.0	18328.0	16069.0	15268.0	21100.0	13564.0	19110.0	20068.0
-2.5499999973720286	6836.0	16152.0	15709.0	19346.0	15821.0	15448.0	22329.0	13490.0	18726.0	19051.0
-2.4499999974750866	7807.0	18412.0	15229.0	19108.0	16557.0	14381.0	22572.0	14142.0	18806.0	18482.0
-2.349999997578144	10257.0	18056.0	16036.0	17366.0	17060.0	14507.0	22723.0	14079.0	18184.0	18913.0
-2.2499999976812015	12877.0	17590.0	15804.0	17618.0	17424.0	13851.0	24313.0	14031.0	17588.0	19448.0
-2.1499999977842594	16326.0	17386.0	15626.0	18546.0	16454.0	13927.0	23823.0	14393.0	18238.0	19256.0
-2.0499999978873173	19707.0	16856.0	17108.0	17368.0	16296.0	14987.0	23509.0	15073.0	17179.0	18847.0
-1.9499999979903744	22745.0	17555.0	16869.0	17763.0	17357.0	13492.0	25070.0	14167.0	18064.0	19068.0
-1.8499999980934323	27891.0	17685.0	16489.0	18118.0	16460.0	14164.0	22944.0	15624.0	17499.0	19260.0
-1.7499999981964907	32970.0	18972.0	15070.0	18534.0	16890.0	12897.0	24582.0	15944.0	16876.0	18543.0
-1.6499999982995481	39651.0	17123.0	17593.0	16595.0	16464.0	13295.0	24834.0	16082.0	17382.0	18971.0
-1.5499999984026056	46005.0	16770.0	18098.0	17041.0	15319.0	14384.0	24088.0	16255.0	17181.0	17600.0
-1.449999998505663	52375.0	16991.0	18248.0	16478.0	16193.0	13614.0	24894.0	15483.0	17816.0	18574.0
-1.3499999986087206	57313.0	16649.0	18918.0	16983.0	16415.0	13464.0	24488.0	15601.0	17778.0	18207.0
-1.249999998711778	64180.0	18677.0	17097.0	17237.0	15612.0	14427.0	24668.0	15306.0	17779.0	18241.0
-1.1499999988148355	71750.0	18507.0	16578.0	16903.0	17200.0	14445.0	23857.0	15356.0	16885.0	19387.0
-1.0499999989178939	78795.0	18240.0	17328.0	16569.0	16865.0	14388.0	23653.0	16093.0	16776.0	19812.0
-0.9499999990209522	86554.0	18334.0	17464.0	16594.0	16860.0	14445.0	22782.0	16741.0	16745.0	19859.0
-0.8499999991240097	94293.0	18854.0	18195.0	15757.0	16871.0	14218.0	21888.0	17602.0	15852.0	20968.0
-0.7499999992270672	102689.0	17798.0	18101.0	16551.0	16725.0	14310.0	22385.0	18012.0	15399.0	19557.0
-0.6499999993301246	108867.0	18267.0	18620.0	15129.0	17397.0	14483.0	21928.0	17561.0	15194.0	19970.0
-0.5499999994331821	115641.0	18317.0	17861.0	15634.0	16279.0	15578.0	21283.0	17506.0	16061.0	20118.0
-0.4499999995362396	122675.0	17851.0	19082.0	14643.0	16413.0	15918.0	20028.0	18923.0	16690.0	18224.0
-0.34999999963929707	127288.0	17643.0	18290.0	16134.0	15396.0	16894.0	18952.0	18942.0	16584.0	18096.0
-0.24999999974235454	130077.0	17631.0	18735.0	15805.0	15883.0	16645.0	18935.0	19117.0	16207.0	18684.0
-0.1499999998454129	134761.0	17896.0	18019.0	15262.0	16140.0	16721.0	18562.0	21018.0	15331.0	18355.0
-0.04999999994847126	136910.0	19132.0	17581.0	14777.0	16241.0	16394.0	18388.0	21627.0	16344.0	16889.0
0.04999999994847126	135389.0	17801.0	19096.0	13980.0	16493.0	16923.0	18489.0	21026.0	15757.0	17817.0
0.1499999998454138	133901.0	18698.0	18847.0	12610.0	17153.0	17664.0	18807.0	20020.0	15814.0	18444.0
0.24999999974235632	133004.0	18292.0	18204.0	13651.0	16336.0	18072.0	18945.0	20405.0	15797.0	17373.0
0.34999999963929884	126556.0	18827.0	17276.0	13977.0	16519.0	18648.0	17994.0	21168.0	15863.0	17103.0
0.44999999953624137	121988.0	19011.0	17390.0	14469.0	15882.0	17712.0	18525.0	21557.0	14446.0	20491.0
0.5499999994331839	115552.0	19104.0	17818.0	13184.0	17633.0	17429.0	18465.0	22064.0	14078.0	19563.0
0.6499999993301255	108697.0	19551.0	17714.0	13686.0	16830.0	17419.0	17971.0	23013.0	13772.0	20035.0
0.7499999992270672	98916.0	20625.0	17492.0	13940.0	15714.0	17589.0	17849.0	22587.0	14626.0	19947.0
0.8499999991240097	94487.0	19507.0	17325.0	14069.0	15953.0	18132.0	17736.0	22452.0	14975.0	19337.0
0.9499999990209522	88628.0	19436.0	17028.0	13821.0	16221.0	19042.0	16619.0	23493.0	13948.0	20094.0
1.0499999989178948	81207.0	19901.0	16185.0	14187.0	15034.0	20019.0	16173.0	24573.0	13985.0	20307.0
1.1499999988148373	72136.0	19838.0	16676.0	14257.0	14755.0	19975.0	17909.0	22573.0	14325.0	19312.0
1.2499999987117798	66435.0	19325.0	16779.0	14578.0	13782.0	21097.0	16459.0	24618.0	13611.0	20164.0
1.3499999986087223	59595.0	19222.0	17482.0	12952.0	14731.0	21752.0	15920.0	24752.0	13279.0	22362.0
1.4499999985056649	51586.0	19254.0	17650.0	12797.0	13840.0	22665.0	16584.0	25311.0	13315.0	20772.0
1.5499999984026065	45691.0	18808.0	18491.0	12652.0	13565.0	23058.0	15798.0	26286.0	12581.0	22465.0
1.6499999982995481	38815.0	19322.0	18217.0	12939.0	12599.0	23906.0	16617.0	25542.0	13337.0	22444.0
1.7499999981964907	33936.0	18604.0	18362.0	13201.0	11393.0	26187.0	16180.0	25076.0	13089.0	22818.0
1.8499999980934332	27526.0	19222.0	17576.0	13478.0	12163.0	25606.0	15844.0	25236.0	13709.0	21967.0
1.9499999979903757	21683.0	20047.0	18874.0	12405.0	13556.0	22629.0	17386.0	24448.0	13428.0	23151.0
2.0499999978873182	18301.0	19639.0	17891.0	14019.0	12838.0	22670.0	16802.0	26461.0	13045.0	22183.0
2.1499999977842608	15467.0	19928.0	17019.0	14376.0	13709.0	20401.0	16696.0	26709.0	12941.0	22369.0
2.2499999976812033	12462.0	19941.0	17353.0	14528.0	12346.0	21832.0	16620.0	26346.0	13613.0	22133.0
