iter	acceptance
1.0	0.9005862
2.0	0.8554928
3.0	0.8608306
4.0	0.8449068
5.0	0.8105432
6.0	0.8511994
7.0	0.839893
8.0	0.8538592
9.0	0.8454034
10.0	0.8329932
