E	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
76.0	0.0	1010.0	133095.0	102219.0	102392.0	99964.0	98979.0	99142.0	107477.0	102425.0
80.0	0.0	188.0	141826.0	101140.0	102337.0	99380.0	97680.0	103196.0	105467.0	102599.0
84.0	0.0	25.0	207918.0	98901.0	103743.0	99573.0	100427.0	100278.0	102422.0	104776.0
88.0	0.0	9.0	110820.0	101951.0	103197.0	99209.0	98430.0	101187.0	101884.0	104656.0
92.0	0.0	0.0	190284.0	98123.0	106223.0	96963.0	100178.0	103112.0	100062.0	104429.0
96.0	0.0	0.0	36208.0	100950.0	106220.0	96064.0	97886.0	103091.0	102899.0	103658.0
100.0	0.0	0.0	5990.0	101434.0	106312.0	97109.0	98534.0	101347.0	101967.0	103870.0
104.0	0.0	0.0	1266.0	99503.0	103989.0	98161.0	100020.0	100484.0	102595.0	104360.0
108.0	0.0	0.0	153.0	101631.0	104502.0	98998.0	96906.0	104652.0	99286.0	103541.0
112.0	0.0	0.0	31.0	132146.0	102577.0	101811.0	96439.0	100989.0	101674.0	106069.0
116.0	0.0	0.0	0.0	223427.0	101156.0	102253.0	93718.0	104741.0	101743.0	106671.0
120.0	0.0	0.0	1.0	110132.0	100916.0	100082.0	100319.0	103498.0	100443.0	108180.0
124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
128.0	0.0	0.0	0.0	1637.0	105939.0	97136.0	100595.0	106178.0	96915.0	117694.0
