kT	E_per_site	m
0.5	-2.4754461793003046	0.8810880918847835
0.5494464013827624	-2.4230234923655294	0.8688694436870572
0.6037826959849353	-2.358493905591477	0.8525981087501832
0.6634924590522102	-2.2907294005691887	0.8358479199168616
0.7291070879416733	-2.2086108641954936	0.814316680402741
0.8012105313844353	-2.126908903017385	0.7937503241052192
0.8804444864382975	-2.0226574497564123	0.7662380498517262
0.9675141093816338	-1.9006290626304225	0.732177956578472
1.0631942913735741	-1.7689429197663107	0.6956697751040791
1.1683365547318127	-1.6124202452999976	0.6455590188415803
1.2838766312026586	-1.3791233449123868	0.5588406618721925
1.4108427896674494	-1.1403272807554823	0.45686281173181287
1.5503649873991951	-0.9051316730628407	0.33445421832887345
1.7036849263126388	-0.7335645584582605	0.23087956367622217
1.8721671037050722	-0.6246916462353365	0.17597992248304084
2.0573109558358817	-0.5467372475249642	0.1466548769347414
2.2607642024187125	-0.48146989835755855	0.12659434667530242
2.484337510787865	-0.43968070662242453	0.11514485948492846
2.730020610245204	-0.39074130427451387	0.10439929790817308
3.0000000000000004	-0.34652662975980747	0.09801998932020331
