T	e_ref	e_mcx	e_exact
1.4	-1.96775	-1.9611875	-1.9680896875930383
1.8	-1.862	-1.8603125	-1.8592028004685084
2.269	-1.4923125	-1.4414375	-1.4918013791129388
3.0	-0.84675	-0.8435	-0.8413154278519152
3.8	-0.5814375	-0.5905	-0.5960018176120068
