step	xT_b0.0	xT_b3.0	xT_b6.0
1.0	0.7844030870654546	-2.9685663507237288	-5.463224358518991
2.0	0.5187192611092478	-3.467840234469193	-5.646627594744244
3.0	-0.5426772275144444	-3.0318375596568115	-5.5346319455028485
4.0	0.4819291456222204	-2.995146396920717	-5.132974146536986
5.0	-0.5912532262983736	-3.046499196081945	-5.514807373347032
6.0	-0.2662577246029606	-3.896521497126506	-5.304609591006139
7.0	-1.4065116260968482	-2.976969496026951	-5.6159291014676285
8.0	-1.487115905835849	-2.9526698932081423	-5.905039436529445
9.0	-0.5003053544143478	-2.669803870801825	-5.640755718184887
10.0	-0.2911412966042738	-2.4921245790136366	-6.21914275679329
11.0	0.40079923172695525	-3.3141142326963515	-7.180318063174724
12.0	0.588498138864629	-4.0612854721602725	-7.545225220526236
13.0	0.31783525193007933	-4.010934580639573	-7.1829376578122694
14.0	-0.050269810767185674	-4.455250051163029	-7.1925012325497955
15.0	0.0859465039510503	-4.836956177557434	-7.626043724400693
16.0	0.2334228250143227	-4.682934375132625	-7.078719013267926
17.0	0.2458128678350905	-5.306449614652769	-7.5623833774312725
18.0	1.1238658591831652	-5.185171703522552	-7.023314569821872
19.0	0.1310604923995285	-3.8444832515321536	-6.388622164922881
20.0	-0.24783458364618216	-3.4183235625579984	-6.798419536988844
21.0	-0.21400188444094284	-2.5200763252623397	-6.499105558130634
22.0	-0.017735588591921037	-1.2321502042078967	-6.154986970037311
23.0	0.11405325038785497	-1.3605708719656446	-6.2865670187326
24.0	0.6121112673469625	-1.0762726368894975	-6.019338731205042
25.0	0.829976752426129	-1.909575323081512	-5.412939247833482
26.0	0.36874445951616663	-1.5538081461420041	-5.416830276859602
27.0	0.21494621374680156	-2.246317290472916	-5.898358479243954
28.0	0.2310940027402092	-2.093569727782582	-5.511449582633972
29.0	-0.4145319609170162	-2.337979548793316	-5.528000830126292
30.0	-0.6973037739146362	-2.148203631486475	-5.661335107799381
31.0	-1.8483926978483867	-2.4556360138622395	-6.268752273483246
32.0	-1.0588570699214346	-3.3121094611124224	-6.282164204852779
