S_N	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
-38.5	0.0	676055.0	34574.0	15692.0	14767.0	22503.0	31470.0	19189.0	45668.0	9481.0
-37.5	22.0	47052.0	33607.0	15874.0	15082.0	21362.0	31459.0	18387.0	47076.0	9137.0
-36.5	62.0	24578.0	31060.0	18977.0	14014.0	20086.0	31358.0	17017.0	51996.0	9118.0
-35.5	174.0	12614.0	30125.0	20096.0	13752.0	19974.0	32228.0	17420.0	48228.0	8374.0
-34.5	356.0	8686.0	31042.0	18734.0	14195.0	20558.0	31157.0	18234.0	44521.0	7848.0
-33.5	745.0	5717.0	30838.0	20269.0	12649.0	21474.0	30559.0	20197.0	39495.0	8129.0
-32.5	995.0	6559.0	27248.0	21373.0	12102.0	23761.0	27587.0	21531.0	37876.0	7781.0
-31.5	1050.0	9362.0	24584.0	21330.0	11638.0	25229.0	25428.0	23067.0	38469.0	8005.0
-30.5	1315.0	10676.0	24139.0	20448.0	10983.0	27565.0	24019.0	23284.0	40827.0	7102.0
-29.5	2184.0	8784.0	21958.0	23059.0	10559.0	28136.0	22687.0	25079.0	38413.0	7553.0
-28.5	3166.0	7814.0	21767.0	25269.0	9424.0	29182.0	22510.0	25046.0	39942.0	7722.0
-27.5	4169.0	8062.0	21890.0	25821.0	8602.0	30803.0	23025.0	23231.0	41158.0	7904.0
-26.5	5878.0	7872.0	21570.0	28094.0	8124.0	28621.0	22401.0	23761.0	39528.0	9225.0
-25.5	8021.0	7477.0	20278.0	30724.0	8122.0	27026.0	22451.0	24955.0	38407.0	9659.0
-24.5	10280.0	6688.0	21660.0	33418.0	7692.0	27061.0	20733.0	26231.0	39621.0	9535.0
-23.5	11793.0	6520.0	25048.0	34209.0	7775.0	24356.0	19975.0	27365.0	39791.0	10318.0
-22.5	14213.0	5796.0	29042.0	33073.0	7875.0	25946.0	20095.0	24537.0	43492.0	9871.0
-21.5	18480.0	5927.0	25850.0	34275.0	8310.0	24635.0	20733.0	24470.0	43363.0	9804.0
-20.5	23197.0	6687.0	22878.0	33414.0	7934.0	23840.0	21578.0	26983.0	40181.0	9957.0
-19.5	28286.0	6716.0	23278.0	33610.0	8024.0	22706.0	21817.0	26188.0	39454.0	10858.0
-18.5	32484.0	7336.0	22983.0	32017.0	8055.0	24903.0	20522.0	26959.0	38814.0	11040.0
-17.5	38972.0	7048.0	23801.0	33963.0	7508.0	25091.0	19541.0	30432.0	35473.0	11565.0
-16.5	48524.0	6412.0	23644.0	36206.0	7086.0	26959.0	18576.0	31017.0	34344.0	13869.0
-15.5	57487.0	6739.0	21383.0	38793.0	6303.0	29170.0	18230.0	33792.0	31521.0	15830.0
-14.5	65822.0	7200.0	19894.0	40111.0	6892.0	27363.0	16197.0	39324.0	29844.0	15761.0
-13.5	75279.0	7279.0	21257.0	35043.0	7928.0	25579.0	14899.0	44111.0	28470.0	15364.0
-12.5	88269.0	7701.0	19355.0	34954.0	8001.0	26575.0	14170.0	44668.0	28680.0	14159.0
-11.5	97396.0	7334.0	21118.0	34250.0	7919.0	27643.0	14381.0	43629.0	27101.0	13732.0
-10.5	106265.0	7273.0	24074.0	31073.0	8102.0	26196.0	14352.0	43806.0	26846.0	13986.0
-9.5	115364.0	6973.0	26367.0	31012.0	8258.0	26168.0	13206.0	43269.0	28273.0	13725.0
-8.5	126655.0	7401.0	24965.0	31122.0	8390.0	25736.0	13827.0	39088.0	29041.0	13856.0
-7.5	137584.0	7307.0	24800.0	33615.0	7630.0	26549.0	14159.0	38573.0	27718.0	14620.0
-6.5	145105.0	7118.0	26971.0	33730.0	7323.0	25553.0	14595.0	39265.0	25699.0	15220.0
-5.5	151489.0	7184.0	28162.0	32455.0	7617.0	24828.0	14599.0	38648.0	24976.0	16026.0
-4.5	159602.0	7190.0	28431.0	28935.0	7506.0	28359.0	14668.0	38106.0	25338.0	14386.0
-3.5	168396.0	7180.0	27258.0	27908.0	7639.0	28846.0	15729.0	37830.0	25037.0	12906.0
-2.5	173009.0	7399.0	25117.0	28025.0	7722.0	29776.0	16733.0	36932.0	23309.0	13131.0
-1.5	177287.0	7207.0	25253.0	27691.0	7630.0	31795.0	16075.0	37632.0	21866.0	13986.0
-0.5	176512.0	7266.0	25430.0	29044.0	7404.0	32244.0	14928.0	38119.0	21818.0	14176.0
0.5	178313.0	7198.0	26040.0	29223.0	7487.0	31935.0	14926.0	36965.0	21883.0	15087.0
1.5	180278.0	7273.0	26103.0	28146.0	7773.0	29872.0	16491.0	35397.0	19717.0	16795.0
2.5	175154.0	7001.0	27748.0	27714.0	6925.0	32740.0	16773.0	36614.0	18675.0	16154.0
3.5	170812.0	6071.0	33336.0	25673.0	7029.0	32310.0	17041.0	37708.0	17646.0	17050.0
4.5	168339.0	5397.0	37866.0	23322.0	7349.0	33345.0	16345.0	40459.0	16045.0	16718.0
5.5	161025.0	5208.0	40486.0	22312.0	7062.0	34039.0	17849.0	38824.0	13496.0	17747.0
6.5	143743.0	5441.0	40696.0	22299.0	6687.0	36487.0	18684.0	37190.0	13023.0	18457.0
7.5	130424.0	5983.0	38193.0	22735.0	6757.0	34627.0	19421.0	36041.0	13711.0	17659.0
8.5	117809.0	6226.0	38697.0	21236.0	7340.0	34004.0	18965.0	37779.0	14160.0	16291.0
9.5	103644.0	6613.0	37791.0	20524.0	7734.0	33381.0	19091.0	36923.0	14548.0	15185.0
10.5	98626.0	6805.0	34410.0	20320.0	8189.0	32974.0	18870.0	35333.0	13834.0	16467.0
11.5	92694.0	5889.0	37634.0	23176.0	7463.0	29904.0	18893.0	37720.0	12647.0	18447.0
12.5	81496.0	5765.0	39843.0	24667.0	7159.0	28198.0	19612.0	34629.0	12838.0	19538.0
13.5	70985.0	5461.0	43060.0	24398.0	7303.0	27530.0	19609.0	32788.0	13254.0	20732.0
14.5	61081.0	5554.0	44282.0	22790.0	7123.0	29154.0	19743.0	32611.0	13997.0	19593.0
15.5	51772.0	6179.0	39409.0	22961.0	7227.0	30009.0	20140.0	32478.0	13919.0	18648.0
16.5	42874.0	5975.0	41466.0	22425.0	6882.0	32565.0	20439.0	32880.0	13587.0	19462.0
17.5	36493.0	6059.0	41754.0	20750.0	6744.0	35062.0	19431.0	32621.0	12773.0	21507.0
18.5	30039.0	6894.0	36189.0	21782.0	6352.0	35744.0	20375.0	30545.0	12296.0	23480.0
19.5	25035.0	7790.0	32678.0	20926.0	6025.0	37819.0	19710.0	32037.0	13419.0	21949.0
20.5	21554.0	6882.0	35734.0	20647.0	6242.0	35369.0	21261.0	30092.0	13219.0	23977.0
21.5	17942.0	6337.0	36819.0	20653.0	7036.0	31338.0	21742.0	29926.0	13808.0	23749.0
22.5	15125.0	6499.0	33814.0	20150.0	8511.0	25073.0	24024.0	28882.0	14850.0	21702.0
23.5	11455.0	7174.0	33283.0	19429.0	9093.0	23707.0	22738.0	29137.0	14604.0	22951.0
24.5	9529.0	6434.0	34399.0	19081.0	8914.0	24039.0	22697.0	29187.0	14755.0	22915.0
25.5	6900.0	6712.0	38201.0	16805.0	9055.0	24966.0	22607.0	29557.0	15444.0	21945.0
26.5	5633.0	6566.0	37968.0	14445.0	10036.0	27068.0	19783.0	32522.0	14978.0	23140.0
27.5	4773.0	6067.0	38049.0	13252.0	11421.0	26835.0	18080.0	32312.0	14294.0	24658.0
28.5	3742.0	5495.0	38857.0	14710.0	10364.0	28107.0	18499.0	29615.0	13819.0	26105.0
29.5	2952.0	5211.0	38442.0	14769.0	9766.0	30026.0	18727.0	31038.0	12019.0	27869.0
30.5	2410.0	5040.0	36427.0	13981.0	9406.0	34087.0	19226.0	28784.0	11480.0	29868.0
31.5	1778.0	4710.0	38115.0	14985.0	8496.0	37064.0	19315.0	26930.0	12274.0	30504.0
32.5	1074.0	5271.0	42070.0	15151.0	7209.0	41457.0	18555.0	29562.0	12781.0	29441.0
33.5	641.0	5976.0	45962.0	15305.0	6580.0	44138.0	18364.0	31004.0	12641.0	28793.0
34.5	508.0	5508.0	44335.0	16778.0	6895.0	38606.0	19373.0	29358.0	12621.0	30992.0
35.5	277.0	7515.0	41774.0	17099.0	6382.0	42321.0	18757.0	28834.0	13352.0	32994.0
36.5	78.0	18004.0	43655.0	16888.0	6345.0	44046.0	19760.0	25999.0	13987.0	31805.0
37.5	36.0	26305.0	45739.0	16667.0	6990.0	40333.0	17901.0	28657.0	13351.0	32728.0
38.5	1.0	632456.0	46132.0	18051.0	6547.0	39696.0	18577.0	26646.0	13150.0	35177.0
39.5	0.0	428768.0	48051.0	18091.0	6263.0	38685.0	19568.0	27012.0	12974.0	34368.0
40.5	0.0	289322.0	48630.0	16591.0	7143.0	35077.0	20786.0	28223.0	11931.0	34428.0
