x_T	direct	is_b0.0	is_b3.0	is_b6.0	muca_flat
-9.94999998974576	0.0	0.0	0.0	0.0	0.0
-9.849999989848818	0.0	0.0	0.0	0.0	0.0
-9.749999989951874	0.0	0.0	0.0	0.0	0.0
-9.649999990054933	0.0	0.0	0.0	0.00021000000021642113	0.0
-9.54999999015799	0.0	0.0	0.0	0.001160000001195469	0.0
-9.449999990261048	0.0	0.0	0.0	0.0008900000009172134	0.0
-9.349999990364108	0.0	0.0	0.0	0.0017800000018344268	0.0
-9.249999990467163	0.0	0.0	0.0	0.0021600000022260458	0.0
-9.149999990570223	0.0	0.0	0.0	0.0019200000019787074	0.0
-9.049999990673278	0.0	0.0	0.0	0.0029500000030402017	0.0
-8.949999990776337	0.0	0.0	0.0	0.0037300000038440516	0.0
-8.849999990879393	0.0	0.0	0.0	0.006700000006904865	0.0
-8.749999990982452	0.0	0.0	0.0	0.009100000009378249	0.0
-8.64999999108551	0.0	0.0	0.0	0.013100000013500557	0.0
-8.549999991188567	0.0	0.0	0.0	0.021070000021714254	0.0
-8.449999991291627	0.0	0.0	0.0	0.030400000031329536	0.0
-8.349999991394682	0.0	0.0	0.0	0.04278000004408808	0.0
-8.249999991497742	0.0	0.0	0.0	0.05626000005798025	0.0
-8.149999991600797	0.0	0.0	0.0	0.056790000058526455	0.0
-8.049999991703856	0.0	0.0	0.0	0.07009000007223314	0.0
-7.949999991806914	0.0	0.0	0.0	0.09008000009283436	0.0
-7.849999991909971	0.0	0.0	0.0	0.1069500001102202	0.0
-7.749999992013029	0.0	0.0	0.0	0.14048000014477544	0.0
-7.649999992116087	0.0	0.0	0.0	0.16757000017269374	0.0
-7.549999992219145	0.0	0.0	0.0	0.18210000018766803	0.0
-7.449999992322202	0.0	0.0	0.0	0.21551000022209962	0.0
-7.34999999242526	0.0	0.0	0.0003400000003503961	0.24714000025469676	0.0
-7.249999992528317	0.0	0.0	0.00012000000012366921	0.2514400002591282	0.0
-7.1499999926313755	0.0	0.0	0.0014100000014531132	0.2740900002824708	0.0
-7.049999992734433	0.0	0.0	0.0007600000007832384	0.2987200003078539	0.0
-6.9499999928374905	0.0	0.0	0.0012100000012469979	0.30990000031937576	0.0
-6.849999992940549	0.0	0.0	0.0016500000017004518	0.32010000032988767	0.0
-6.749999993043606	0.0	0.0	0.002120000002184823	0.3746600003861159	0.0
-6.649999993146664	0.0	0.0	0.002380000002452773	0.38740000039924544	0.0
-6.549999993249721	0.0	0.0	0.0037800000038955804	0.38823000040010086	0.0
-6.449999993352779	0.0	0.0	0.002200000002267269	0.40933000042184603	0.0
-6.349999993455836	0.0	0.0	0.0016600000017107574	0.4167600004295032	0.0
-6.249999993558895	0.0	0.0	0.0017600000018138152	0.4339600004472291	0.0
-6.149999993661952	0.0	0.0	0.003670000003782217	0.4191700004319869	0.0
-6.0499999937650095	0.0	0.0	0.005400000005565115	0.3856400003974316	0.0
-5.949999993868068	0.0	0.0	0.007580000007811772	0.3890900004009871	0.0
-5.849999993971125	0.0	0.0	0.010320000010635553	0.3778200003893725	0.0
-5.749999994074183	0.0	0.0	0.016860000017375525	0.3557100003665865	0.0
-5.64999999417724	0.0	0.0	0.024330000025073933	0.3496800003603721	0.0
-5.549999994280299	0.0	0.0	0.02881000002969092	0.3129600003225293	0.0
-5.449999994383356	0.0	0.0	0.04087000004211967	0.29718000030626684	0.0
-5.349999994486414	0.0	0.0	0.04774000004919974	0.24505000025254284	0.0
-5.249999994589471	0.0	0.0	0.06213000006402974	0.23500000024218556	0.0
-5.149999994692529	0.0	0.0	0.07488000007716959	0.2091100002155039	0.0
-5.049999994795586	0.0	0.0	0.08891000009162858	0.17516000018051583	0.0
-4.949999994898644	0.0	0.0	0.09323000009608068	0.1584600001633052	0.0
-4.849999995001702	0.0	0.0	0.12180000012552426	0.12273000012648269	4.000000004122307e-5
-4.749999995104759	0.0	0.0	0.13600000014015845	0.11745000012104125	2.4000000024733844e-5
-4.649999995207818	0.0	0.0	0.15075000015535944	0.09878000010180038	1.0000000010305767e-6
-4.549999995310875	0.0	0.0	0.17313000017842375	0.08939000009212326	3.0000000030917303e-5
