algorithm	run_s	max_dev_exact	p_mean	p_min
parallel tempering	25.827704834	1.3098520937338662	0.724004884004884	0.17476190476190476
Wang-Landau	33.857494791	0.23034519745277748	NaN	NaN
REWL	30.1221045	0.11708675060469886	0.5883495145631068	0.5771844660194175
Langevin PT (Heisenberg)	9.369670584	NaN	0.3624561403508772	0.16333333333333333
