variant	run_s	mean_D	abs_D	flips	p_a	p_b
SmoQyDQMC native	6.836344959	-1.7419263891003918	1.7419263891003918	0	0.002	0.394
MCX λ-exchange	27.440378708	-0.07936320940312921	1.732197771689543	96	0.4467379679144385	0.24235294117647058
