iter	acceptrate	flatness	roundtrips
1.0	0.982955294117647	8.030293289138754	0.0
2.0	0.8752129411764706	10.380787593592414	0.0
3.0	0.8158125490196079	9.295410589193029	0.0
4.0	0.7135282352941177	25.38557073161228	0.0
5.0	0.7622938823529412	7.774963173824286	0.0
6.0	0.7129994117647059	6.211209913209679	0.0
7.0	0.6866149579831933	3.320942268647237	0.0
8.0	0.7024470588235294	2.8462221711872244	0.0
9.0	0.6111913725490196	1.5177504530269685	0.0
10.0	0.6283061176470588	6.634688072973991	0.0
11.0	0.5564252406417113	5.316405697912964	0.0
12.0	0.6633835294117647	1.5771955722391413	2.0
13.0	0.5990406334841629	1.3050882295155664	10.0
14.0	0.5598886554621849	1.4348007758574555	5.0
15.0	0.6451129411764706	1.6688780743913068	10.0
16.0	0.6096566176470588	1.383395499126718	14.0
17.0	0.5154894809688582	1.5714627641363086	14.0
18.0	0.6262574509803922	1.4030712624881825	12.0
19.0	0.5456252631578947	1.3114960093655386	22.0
20.0	0.6283373529411764	1.4258099023312836	16.0
