t	x_single	dW_single	x_b0.0	dW_b0.0	x_b3.0	dW_b3.0	x_b6.0	dW_b6.0
0.0	0.0	0.30694848244398965	0.0	0.07442403076068727	0.0	-0.04885604233407137	0.0	-0.592782732940733
0.1	0.43409070682213	-0.3096560507223329	0.10525147366823635	0.4887705653911071	-0.06909287767271782	0.06247380724400142	-0.8383213804653732	-0.2925515474182887
0.2	-0.047238150462497186	0.2851934524769318	0.7859522887662822	0.6790619117447673	0.02616771559210329	-0.11534759943103479	-1.1682196084710155	0.17170597048255343
0.3	0.3608101129766363	-0.010373260279393915	1.6676956251701056	-0.38536959588505026	-0.13957519546965555	-0.3960059725609828	-0.8085687354270525	-0.12535841790308855
0.4	0.3100590963058277	-0.18998718263201822	0.955931153626218	-0.2316467632307837	-0.6856546930991797	-0.22658276512870112	-0.9049954366405293	0.3174732126116382
0.5	0.010370736319990581	-0.4570051306656237	0.5327400440227927	0.2996322251443908	-0.9375256432342685	-0.3760670128510517	-0.3655209700109405	0.31031316521118046
0.6	-0.6369691911734219	0.8561626247492828	0.9032099961437396	0.13382732914041562	-1.3756121488459359	-0.021930112347209874	0.1098802138147279	-0.2171708805430983
0.7	0.6375245234613032	0.48207274226338004	1.0021494204159096	-0.2197908215855875	-1.2690647962671322	-0.1742732913591073	-0.20823381218330184	-0.6185736787150168
0.8	1.2555258812744343	0.24027112785757382	0.5911033176028555	-0.46484071032710705	-1.3886179688398665	-0.12845752774272345	-1.062205716730766	-0.2149067063356097
0.9	1.4697679808098518	-0.27873482373130654	-0.12539105104516812	0.1645465159366094	-1.4314225498785575	0.09689107612623449	-1.2599091238024407	0.732918067541939
1.0	0.9286006147023789	0.22325463151930142	0.11985196853814234	-0.37687705296083585	-1.151255620960057	-0.019949562608943205	-0.09741554019610632	-0.09331805508062285
1.1	1.151470280989345	0.3451800883276292	-0.42511786796008927	0.3298256559630669	-1.06434300086903	0.11634095097479613	-0.21964564528579206	-0.15814000191137012
1.2	1.5244816152644864	0.2755918191050004	0.08383783471749146	-0.1498091155255834	-0.793377750054187	-0.265545375042855	-0.42132481621397966	0.20188352101487606
1.3	1.761779141995402	0.027097907968591982	-0.13640803169765556	0.03167646919081424	-1.0895778458598238	-0.08300534876667376	-0.09368592115371016	-0.27560781731107753
1.4	1.6239234567569827	0.3036036852742457	-0.077969936190147	-0.4032756416102137	-1.0980073512491804	0.38702876530554575	-0.4740856421757113	0.6331566475907638
1.5	1.8908915603825753	0.28708326608112006	-0.6404908243110082	-0.17003158837137278	-0.4408652872006459	0.13674427970672565	0.46874164017140035	0.392943045180994
1.6	2.107799452766602	-0.46329324209027545	-0.8169027201865422	0.06578542816210198	-0.20339314354238985	-0.3149095214643657	0.9775728598894058	-0.38412275219608616
1.7	1.2418239211700726	-0.06826069592400519	-0.6421778034545225	0.6304285351053092	-0.6284031453634782	-0.21814155586172712	0.3365839681286805	0.14105956421054755
1.8	1.0211063271003114	0.18186083293766325	0.31360056134386094	0.2215064570950237	-0.8740615776439531	0.3699028899826755	0.5024139201248072	0.30069978565980804
1.9	1.1761857507951912	-0.5678281138403309	0.5954979409864715	0.05690422689470809	-0.26353373610505515	0.3480819644652665	0.8774262431951098	-0.36382402554776583
2.0	0.2555369560259422	-0.3340941679865008	0.6164228763186763	-0.20843540551525486	0.25508187246970004	-0.007823857093661957	0.2751587476287729	0.1165894654629891
2.1	-0.2424972430529167	0.04691575243558566	0.2600084113283994	0.001744389240427635	0.21850908041080436	-0.658360670012381	0.41252527615348433	-0.5219594877014792
2.2	-0.15189862536428123	-0.5813879642644412	0.23647450911742993	0.0392513637542522	-0.7344044160948231	-0.1980904915811208	-0.36688943797860873	-0.04670842418559118
2.3	-0.9589155068911103	-0.33951240248872333	0.2683368691685901	-0.4497741233109679	-0.9411062342565153	0.2655478642570295	-0.3962561811410864	-0.3054441383106702
2.4	-1.3431670003954248	0.2914880518590655	-0.39457348293910866	0.1889755864366055	-0.471454219739363	0.28131961354341606	-0.7885938059732911	-0.5083763530310943
2.5	-0.7966239441470797	-0.6077461862760448	-0.08786429734914114	0.1820027592913167	-0.026462784930769867	-0.22752208795023787	-1.4286871586223082	-0.5110780506687141
2.6	-1.5764444488444798	0.07395911997027471	0.1783129029648789	-0.31845999040321293	-0.34558132895636345	-0.18699614279349508	-2.008591953446977	0.3984311997659187
2.7	-1.3142060134368905	0.12836077560945713	-0.28988882483303846	-0.1839153023509471	-0.5754756773107437	0.20359919816676064	-1.244265951720733	0.29879321734971276
2.8	-1.0012558623495775	-0.03031941561792154	-0.5209954572623925	-0.5567524803492093	-0.22999536224394895	-0.2048056714673584	-0.697281936227604	-0.030424959266927454
2.9	-0.944008404884711	0.4882245613622673	-1.2562628201308652	-0.1055162539672565	-0.49663478425962077	0.04927817825028025	-0.6705811326347815	0.14653915930687134
3.0	-0.15915376823406613	0.0034825893537118414	-1.2798590555290768	0.34333510584505267	-0.3772814378230735	0.20053471343062823	-0.3962853528607743	0.2847580617213099
3.1	-0.13831326631446408	-0.2857249047447879	-0.6663239868512935	-0.011250049155350994	-0.05595438258056967	-0.4279804417852773	0.04605189530665449	0.4557580637014629
3.2	-0.5285579750808574	0.1267135787097313	-0.6156015602590255	0.10881772880915264	-0.6556146895256807	0.26312215705839836	0.6859859406234989	-0.021904357763985582
3.3	-0.29650211602463905	0.09671727715355012	-0.40014989632458176	-0.4117279164774481	-0.217942297500262	-0.4751747673895472	0.5864099067362483	-0.00037026421234687135
3.4	-0.13007301935582705	-0.3962004428096238	-0.9424061101821476	0.22538420577047658	-0.8681466682900143	-0.01313565664039873	0.527245283391861	-0.10485057119500174
3.5	-0.6773777570598402	-0.29800655984551383	-0.5294240986186365	0.035506907185043235	-0.7999086252325409	-0.21210389369053229	0.3262396552461377	0.42586370051753175
3.6	-1.0310848999635311	-0.144778929880433	-0.426267339057762	0.3251093081406038	-1.0198779657985788	-0.09573284015188366	0.8958779107158115	-0.046155407338441146
3.7	-1.1327247361499497	-0.07578157984844291	0.07613338767418981	0.47108731871790366	-1.0532768501260104	-0.19504412819412997	0.7410165166093521	-0.08830035995781926
3.8	-1.1266236005346824	-0.39645769325531766	0.7347381240996069	0.04894029781767817	-1.2237832164667846	-0.1148412746670413	0.5420392983336426	0.4899152925613979
3.9	-1.5746370871900368	-0.23827216252829964	0.7304763446099851	-0.05175936959156202	-1.2638149829744496	0.3126682550420402	1.1806802196545898	0.2379277331763998
4.0	-1.7541411022545208	0.04054175688630902	0.584229907692718	-0.17236663225473092	-0.6952537978730214	0.061370634658175605	1.3990928248118824	0.0004913638179100399
4.1	-1.5213922895980176	-0.3967872669597327	0.2820436878882299	0.25398535529011235	-0.5389372342206831	-0.3913946158259378	1.259878435706042	0.267534675722205
4.2	-1.9303949949496237	-0.09765458656138168	0.6130288531948329	0.12213967276048221	-1.0385590847394632	0.0324583127593282	1.5122417589468682	-0.16161606085949576
4.3	-1.8754599361977047	0.04219105245164253	0.7244575495970352	-0.08155752882322675	-0.8888001901495273	-0.13053691335505613	1.1324579578873668	-0.15511031845180878
4.4	-1.6282467839900268	-0.2872728116563946	0.5366720312618898	-0.16480076531903698	-0.9845272443916165	0.14783452030810063	0.7998530460800723	0.0976928920941047
4.5	-1.871687211936549	0.5226716138281331	0.2499413507320531	-0.5396978398246929	-0.6770049363458182	0.36349759889887256	0.8580263544189993	0.0178222577158752
4.6	-0.9453492057997154	0.3360062751554638	-0.5383007890046954	-0.424122953830566	-0.09524120845839523	0.37069320960926755	0.7974281975509987	0.6744786674825844
4.7	-0.375629653852421	-0.2896208745079477	-1.0842711435251502	0.094013648667438	0.43852227689648304	-0.5381027901517852	1.6715422568811027	0.364356894450683
4.8	-0.7476524571426748	-0.01566633907310571	-0.8428886521789651	0.07165755820971875	-0.3663222145766235	-0.342918605809463	2.0196664928692907	-0.377301307033169
4.9	-0.6950427606183289	0.4642969725001839	-0.6572606962943448	-0.383929947206196	-0.8146501362447769	0.3188982064787924	1.2841152180749589	-0.5419264764490694
5.0	0.031076590922032077	-0.06867573849704064	-1.1344935650050991	0.07166004655620772	-0.2821949540015354	-0.13118910089364855	0.38930392346412523	0.42144333895397945
5.1	-0.06915322895867408	0.36939672675406515	-0.9197015987845129	-0.016433004490988168	-0.43950486432071195	0.016051161241782852	0.9463844168382318	0.32486179274743365
5.2	0.46016795480902056	-0.22461447927405423	-0.850971216727755	-0.03049822505742783	-0.3728546079686741	-0.1250869570305564	1.311169928354667	-0.12126133013396612
5.3	0.09649831643338053	0.6830276055611652	-0.8090050985595009	0.11426019712124147	-0.5124688182804	0.04993566011207995	1.0085635178523442	0.5673663037281307
5.4	1.052795388049863	0.25132183044307027	-0.5665162682952678	-0.6344763881655364	-0.3906022486758034	-0.3250263394759587	1.710084287632925	-0.018449571517467733
