T	e_exact	e_sunny	e_bridge	e_native
1.8	-1.8593037975495372	-1.8591205400003348	-1.8591136800003016	-1.8595107600003393
2.269185314213022	-1.445309467805852	-1.4469358400000425	-1.4454084199999908	-1.445961319999952
3.0	-0.8173610538082768	-0.8175893600000099	-0.8175692800000091	-0.8176045800000196
