implementation	create	run	wham	p_mean	p_min	p_max
Sunny native	0.011893458	14.686358417	8.13763525	0.7390231990231991	0.054285714285714284	0.9942857142857143
MCX bridge	0.023552	17.808850708	6.380842958	0.7401465201465204	0.06714285714285714	0.9909523809523809
MCX native	0.007684125	6.956635583	6.262897458	0.7436385836385837	0.06761904761904762	0.9895238095238095
