native	replica_exchange
-1.897621871409742	-1.715082526893033
-1.8322461770263931	-1.6730749153810205
-2.0638327973583084	-1.4360183143056824
-1.8229803922750374	-1.5970013876534885
-2.0793465763273957	-1.977432666196385
-1.8264218983346334	-1.910921815336716
-1.7957588014391872	-1.812599085308658
-1.9643937910419422	-1.920625210551467
-1.7764111223986911	-1.777696649044707
-1.7783518997692156	-1.8266833573621009
-1.5333998512421703	-1.5811383251160864
-1.8618619559821121	-1.8944361276315091
-1.6614997832390959	-1.7653303336573407
-1.7485776624695322	-1.4592861584799763
-1.6016296678161532	-1.6179385898039484
-1.7822990232179592	-2.0374339252559994
-1.7788310272236953	1.551107603162944
-1.4610012333544435	2.1269737212698496
-1.903557815320001	1.715933203977763
-1.8314642638408842	1.706356535027175
-1.7235157769540663	1.4450374716676957
-1.6745331767975602	1.5416081842831941
-1.8665489420640786	1.801029848992522
-2.1669378234448025	1.6541274003144995
-1.6456473358445947	1.358926993696109
-1.885528170620384	1.42202081687073
-1.6850715210299456	1.7399182187083113
-2.078949961726394	1.6342378736053185
-1.812789607059666	1.8161086267989643
-1.8450247853299675	2.019287255962291
-1.9815042783009145	1.7508519347566778
-1.7834760061459496	1.6927701662733554
-1.610514639421014	1.5394528822910023
-1.468865343488965	1.6348143532839916
-1.7776880082296334	1.809655594258545
-1.8805582915010162	2.027560685693551
-1.8868374012282787	2.105657543609451
-1.5901400765120903	1.6439110604276082
-1.5990755853529874	1.780072289084038
-1.5519692826875218	2.188338167217511
-1.7890071585938854	1.7932454316028599
-1.7163794898606723	1.976140207500381
-1.7736161639783594	-1.4887608851725047
-1.842603852047402	-1.9122262044401461
-1.7488551937100936	-2.0057161780611183
-1.5677063677077716	-1.5427791614777433
-1.2987921158770177	-1.7874699140115262
-1.7188036744835227	-1.6744299507275109
-1.924217152351703	-1.673016181624112
-1.6148046988635443	-1.7951544990999777
-1.3640395100488218	-1.7889064011266913
-1.790815314749009	-1.6990371035198444
-1.6304461042904232	-1.5691752219351567
-1.8224534445707714	-1.577370467154684
-1.8017924687472044	-1.940144781908522
-1.9502038370729193	-1.6785131149760293
-1.7718875183560263	-1.7514384968426668
-1.8640970053005712	-1.6161650830159617
-1.6515791704857596	-1.5738720765310137
-1.5314068706477413	-1.6475702932474978
-1.6725323450282916	-1.9755868991244772
-1.690485672973782	-1.8759618670885654
-1.7414451884390545	-1.9623403447827732
-1.8427415781972611	-1.3623879916390682
-1.8212824142145059	1.7152956906839258
-1.766382255928867	1.5442511759483346
-1.902136928952609	1.7727519487298462
-1.7207632794673222	1.7262098507985144
-1.9383661294865533	1.7166144936649281
-1.6529731811674944	1.6457902431938976
-1.7058861667115117	-1.7524402142593605
-2.090361883290307	-1.5930360587334713
-1.5247713869813504	1.486089197590864
-1.5966442407681363	2.0745907273617683
-1.6705958821217928	1.6654677485105782
-1.9004086743964455	1.7213387298290634
-1.7301326087979128	1.775835328886382
-1.7272490209761042	1.5613106527470555
-1.8161927063699033	1.8913859275237919
-1.8283974149846274	1.9537894121682782
-1.7613988304376547	1.9912330475327367
-2.062513322984548	2.019485748020652
-1.7462530578551987	1.6875717039082652
-1.7929361359351599	2.074167118145455
-1.8061073197496407	1.7761672138212603
-1.8063846061401387	1.7941405341684815
-2.15983475463831	1.5300802009929229
-1.5841313211819232	1.9928035799749426
-1.7921013627216942	1.681638246212274
-1.7238729599840192	1.9729302696336508
-1.5602665158838458	1.9357241876972924
-1.5173997832948443	1.5958968453286346
-1.9880808967082242	1.5784910435973176
-1.702268327039131	1.931840526618287
-1.58646541120262	-1.5988021091538243
-1.7104765892957179	-1.909267363829596
-1.614869266826042	-1.9414008234006488
-1.6611757987475009	-1.5237681993372478
-1.7866181277932776	-1.8325517017782322
-1.5788814715434558	-2.065924058069407
-1.8834393153815445	1.5457374618380528
-1.8731846584718663	1.8033605966605402
-1.2834897943625179	-1.5931412563856167
-1.6180126608273548	-2.134636100507303
-1.8251014816819722	-2.1765590534966606
-1.476170282453711	-1.8085782042139222
-1.950961363909487	-2.0369897746627017
-1.7248883786314853	-1.5703039882031689
-1.8709107431690595	-1.8206017315714165
-1.5145846878848692	-1.6479286072059647
-1.4051758839983428	1.457549418403235
-1.5696782429575922	1.8550582065927503
-1.5106670505719226	1.8040757153712828
-1.7150971793766503	1.5767905935850262
-1.7823380748729694	2.0195518571993185
-1.7999321133027952	1.5170862963722678
-1.8574114744200416	1.7082096787213756
-1.8846374411756093	1.8910546890183837
-1.7848801351183958	1.9418878198191853
-1.641182820050774	1.6166898212210186
-1.3973987670674082	1.9468056056431642
-1.7322954283313639	1.7090130435197313
-1.9332759556221761	1.9337933397289468
-1.9519326430065793	1.9057111668463937
-1.985425122731001	1.638003655348415
-2.02953681565959	1.9893014333293542
-1.41737408632813	1.7455242902761714
-1.6698034356719813	1.7655338537383707
-1.933087823831009	1.4953470933136916
-1.722854917154088	1.6144474163041997
-1.6903457839157596	1.5616555633322706
-2.2002325442805577	1.7769718970485449
-2.0980855477359075	1.5626126275268053
-1.9069714798441721	1.7872058273531921
-1.8223657469893264	1.721717714188528
-1.2799083421917412	1.9036231490937003
-1.6639636317559658	1.4284699184502097
-1.6367553499223535	1.4736933657886064
-1.5803488578448872	1.7114628506637424
-1.9058308281003797	1.685266819935789
-1.628622568603274	2.0037170606070367
-1.4808731419775498	1.8397594752816826
-2.0113670622777047	1.5185108010887574
-1.7824718359204288	2.041979493339086
-2.245896518893183	1.801082240399992
-1.723551435527854	1.756110889357293
-1.6600039067552634	1.8080397444630658
-1.876394472427862	2.068266465643585
-1.9059708992206805	1.65586873475695
-2.2226850022144102	1.7299625537522252
-1.3577321387722747	1.8709202354777312
-1.6501992307950473	1.6567694932454546
-1.4480926585546796	1.689562615752184
-1.8849204171747744	1.4321715436897513
-1.5150351349369306	1.7179095504791997
-1.694235235065102	1.5836751920487524
-1.8872345194827753	1.9607888691684838
-1.6278354634909389	1.2278148490484988
-1.5451967861414189	1.9943733389942118
-1.834713914645806	1.477620476038948
-1.787113461468356	1.6738296444396132
-1.7526536766114102	1.4892903513733309
-1.92279405683201	1.6783248649277387
-1.4976789343535173	1.9728782716934703
-1.9581856770981656	1.7940198549118767
-1.943339312383804	2.027515342320907
-1.6930321715292835	2.00119990499664
-1.7009605424918295	1.2223973143242473
-1.655726931688628	1.8942612538382413
-1.5509308052166393	1.8756505649202644
-1.884472579284247	1.696323472631271
-1.4685241373166389	1.4719537350492664
-1.4949317977295362	1.5873844886992754
-1.7956126149019886	2.150594184968996
-1.4414549049573857	-1.5823771885174782
-1.8817001775822635	-1.4732932109718566
-1.80801032275732	-1.8810316754020173
-1.8301818061509945	-1.845451802663419
-1.7809128109340293	1.447899595764245
-1.9932355363867995	1.9378088651495777
-1.5368456432266873	1.649753338324768
-1.9884534700191074	1.7501978744148687
-1.5542455928130958	1.4042443749820666
-1.706969004818661	1.7567175668534332
-1.9985668467201738	1.8039997952964928
-1.4385714571528863	1.6915369116256465
-1.7553137037035444	1.831868440038632
-2.0451928980908987	1.7784624755570846
-1.6013543042585412	1.9137820538696213
-1.4100820626991057	1.6120609000717312
-1.9259089211385194	2.110813025132647
-1.8444025340996528	1.625282333496461
-1.564061025725166	1.6460789889872338
-1.9079057311524463	1.9759029063178175
-1.7467644945943566	1.5911014852352527
-1.5348512317056617	1.6567902371219727
-1.7197841995831953	1.7956763646853033
-2.0880029411333947	1.8181504771081263
-1.5847281922878556	1.7139727759160661
-1.854180780828321	1.825994805061324
-1.3501036191972748	1.8011758241180875
-1.8942397178960588	1.418885657995501
-2.0215167951511637	-1.5428070764252868
-1.541546818569077	-1.9248375707984438
-1.8219054783307111	-1.832457149319401
-1.738389674863972	-1.4428134792098497
-1.900260843437001	-1.7563414812793634
-1.4819559391345103	-1.8166580532935908
-1.682434584221046	-1.749044599658715
-1.8423163927001034	-1.7900240593173362
-1.718875511873205	-1.8100811335549976
-1.8435157996994451	-1.8030594878317265
-2.08786973274227	1.2691315727345074
-1.5073582034377941	1.7377500428260144
-1.788187368582118	1.8649827380128352
-2.071495932917156	1.7687151037031525
-2.0782917125282574	1.4050085887957215
-1.932968967066874	1.7391100299219455
-1.902916347580586	1.7002327283671241
-1.6601092336433512	1.7129384952232514
-1.8315922064320236	1.870385527418637
-1.96128388496924	1.9134189000318838
-1.6868214684404994	1.654556351886718
-1.448475683300559	1.4001506340099612
-1.8311896429777335	1.8673074946063357
-1.951375275861494	2.043523414463156
-1.4581503157176219	-1.4995529641460716
-1.6058282885738977	-2.0943915211528603
-1.6473053006657268	-1.9186795161948784
-1.9603944032013751	-1.757301208906974
-1.5702961810018754	-1.7276154028512818
-1.8594984409778963	-1.6197519618351313
-1.6878795314141988	1.6038072321728107
-1.650860637285701	2.0239268242883663
-1.6513960316712888	1.8781689444967313
-1.6823703728032295	1.5276618163116478
-1.9558957783248812	2.0864821169472636
-1.4469628483476522	1.678791797007211
-1.756791831195235	1.7280379464598938
-1.816892442393629	1.9619775509486104
-1.6430505811600908	1.6220517585335943
-1.678419043289497	1.7783582762435992
-1.9935201455554297	1.567391294169102
-1.7756820599104495	1.6679962856680175
-1.554917238963682	1.548793592334629
-1.848086776551749	1.669993550039875
-1.8473101607659472	1.6691630747070876
-1.8832419208458482	1.6990498212782197
-1.6327237935187096	1.6752581254657373
-2.0203450598914174	1.6745775732056314
-2.133491413247543	1.478849060949583
-2.039432282525448	1.9523138978282097
-1.463950440399369	1.5367444963119883
-1.783852890109772	1.6213696416032242
-1.5142231304287102	2.0277575791006353
-1.6295230155182123	1.8087246498116885
-1.9243861976081278	2.016389772092413
-1.622599365932408	1.960271802405097
-1.5869414073292307	1.703199889589384
-1.6706234681842667	1.6181873180132502
-1.548607735463777	1.652264815713441
-1.8917488939350062	1.67536790881642
-1.6646861520555347	1.915312336692788
-1.8744441979374857	1.701031029894045
-1.9976033832801199	1.7498796144972517
-1.7121546439716733	1.5637371872496701
-1.577398083507577	1.5784963010410737
-1.8101983032051332	1.769414039669553
-2.0782468946249355	1.8579562199462025
-1.6347601635612388	1.5723104957901968
-1.8256012396423313	1.699128226631483
-1.766510238087368	1.6929594999634434
-1.9116881196440674	1.6804842037876877
-1.7376042038467294	1.738811531030932
-1.53673059064697	2.07987631224694
-1.7769182060338882	2.163382806870645
-1.831444707240892	1.7847890992657298
-1.5451672733634427	1.6700595158673341
-1.7740022355955853	1.7708683140740475
-1.6525528639987894	2.079106757482045
-1.5593218933829516	1.8694787679579257
-1.8823481671325886	1.4496585072242256
