s2	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10	iter11	iter12	iter13	iter14	iter15	iter16	iter17	iter18	iter19	iter20
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.8762863194128165	-4.55226760997402	-4.501726485953936	-4.439612813617786	-4.378268785643181
2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.161280773288105	-8.879897038916056	-8.784931466581755	-8.69627591566862	-8.58244375351248
3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.2516124739685779	-10.62801026995562	-12.759315468696487	-12.68499512762899	-12.603573760290631	-12.482670525377538
4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.6176225882352075	-14.298573493797575	-16.380623084983746	-16.29237014777481	-16.22228064144103	-16.098299880672958
5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0226843117112057	-7.027883968111786	-17.681713965668422	-19.771297529974994	-19.682733390613063	-19.615021699436248	-19.503791272339438
6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.988402267590119	-10.211104426137682	-20.89520481439605	-22.980990615185167	-22.888291484510056	-22.83317485498976	-22.728792498285785
7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.931924363456071	-13.251562238027452	-23.95907946114202	-26.034353061768297	-25.94910230828447	-25.89824215055667	-25.803401682717535
8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8226998438238731	-8.79619480538194	-16.19101199648682	-26.88908063957826	-28.97466382658698	-28.892915447813266	-28.843252664467165	-28.75329671278167
9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.568888964537961	-11.634355813240491	-19.01892197283479	-29.72520157841168	-31.817234954072056	-31.740541787865208	-31.69434925033549	-31.604127164113724
10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.211223701417694	-14.389210751926676	-21.77578558682084	-32.486613151805	-34.5820818787299	-34.500631502874974	-34.46242765617429	-34.37070652267577
11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9846542868925653	-7.9053992699730635	-17.070589370357993	-24.465350804182155	-35.17571629800759	-37.27509018877338	-37.18413452063679	-37.151393921102056	-37.061028590317434
12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.8357065911248713	-10.52920408443715	-19.69047294359625	-27.099885320697325	-37.80075785439824	-39.89463316432152	-39.79828504524451	-39.77059122219597	-39.68265354805076
13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5364793041447001	-5.53669030092826	-13.101430898017245	-22.259790283951215	-29.671942770140042	-40.36480305072204	-42.45954241177699	-42.35505068436028	-42.328378555390366	-42.24448436211296
14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.6531139999029016	-8.09192299657603	-15.615828862785225	-24.7787070423175	-32.18627720276088	-42.87491808115256	-44.96930423865956	-44.86150142214297	-44.83560783788293	-44.7515215365209
15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.5021568881065095	-10.594248751475153	-18.083434615785663	-27.243126648218755	-34.648205304884335	-45.33445989895687	-47.43620066903405	-47.32397634737545	-47.29760008139071	-47.213121543464425
16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.541550287022515	-13.034575352227689	-20.500959314762742	-29.65590266891305	-37.063932549791105	-47.75271080903589	-49.85505508628803	-49.74274447433631	-49.71699178872995	-49.631226300887576
17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5134816803157162	-7.776691249121189	-15.408789756217704	-22.882816603857254	-32.02894490110427	-39.443736205022894	-50.128076827278484	-52.23226385634903	-52.11743850557709	-52.093881849076936	-52.01090617080871
18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5387400073915583	-10.055731700145126	-17.73612785245622	-25.222941131370067	-34.365995544756515	-41.781675818490406	-52.46590933928458	-54.570132544860506	-54.45370338750374	-54.431441535259054	-54.352162892265696
19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.2539248780567673	-12.353920136156235	-20.034327637963866	-27.52362974427262	-36.66474236290932	-44.085165588673455	-54.76496079404274	-56.875583600800084	-56.75689940635932	-56.73412647287216	-56.65931477546643
20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.2098186793558074	-14.634227301358854	-22.30843562801519	-29.79303704248092	-38.933203914185256	-46.352811431701575	-57.03331632816314	-59.147827783059256	-59.03159992129499	-59.006248625576085	-58.93415316525342
21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.398898003692372	-16.88355407948717	-24.555811501894922	-32.03848849397884	-41.17603774886099	-48.59572089717475	-59.275392274585904	-61.39107395106883	-61.2770786127375	-61.25109897563517	-61.18013334310108
22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.910009702606995	-9.629786100414739	-19.122184194464523	-26.774894660815374	-34.260543556820494	-43.395772148096555	-50.81234804216152	-61.49417531597504	-63.60945220639514	-63.4962778937321	-63.47065196729867	-63.40124134769762
23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.56892095008052	-11.832171085127312	-21.325672002422294	-28.967707241486544	-36.455849150499226	-45.588357047933826	-53.00765758945789	-63.69042729005908	-65.80488530128298	-65.69167403680265	-65.66753026732694	-65.59950774623286
24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.993516389362151	-14.0110107550405	-23.49378939920613	-31.13586070634197	-38.62524953205524	-47.76007362098399	-55.17824412166518	-65.86265930795294	-67.97814301437586	-67.86468069423132	-67.84252281416435	-67.7769305451138
25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.204347067711732	-16.167438255882445	-25.635278716227727	-33.28433601478652	-40.77339512447808	-49.91167933247651	-57.32711218768677	-68.01297883158288	-70.13004389851712	-70.01742095074435	-69.99778146434328	-69.93384239493359
26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7590890950032518	-9.37173040949495	-18.30231683245788	-27.76109566793094	-35.41634629218553	-42.90496816215222	-52.045517562400214	-59.459797202927184	-70.1464646567391	-72.26438139185038	-72.15284368644528	-72.1350669719112	-72.07307631228505
27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2300218594501304	-11.482327320955786	-20.417560711346464	-29.877616297170018	-37.53636581749298	-45.023241475931194	-54.16441254837151	-61.57840346355296	-72.2676463519568	-74.38575701888477	-74.27587592561412	-74.25819513214819	-74.19717025924483
28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.3775352482728636	-13.592959352124078	-22.52118534567914	-31.98270626060793	-39.642962126987996	-47.130820197919306	-56.27300142785724	-63.68674516190103	-74.37845152952532	-76.49711513848482	-76.38710166781073	-76.37022511137424	-76.30961626856408
