x_T	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
-9.94999998974576	-1.8999999980419062	-1.8999999980419062	-1.8999999980419062	-5.960443008588325	-15.258885828786052	-25.171580862073093	-35.091679680414416	-44.28741390000123	-54.22882324553592	-64.65789694731126
-9.849999989848818	-1.6999999982480212	-1.6999999982480212	-1.6999999982480212	-5.76044300879444	-15.058885828992167	-24.971580862279207	-34.89167968062053	-44.08741390020735	-54.02882324574203	-64.45789694751738
-9.749999989951874	-1.4999999984541361	-1.4999999984541361	-1.4999999984541361	-5.560443009000555	-14.858885829198282	-24.771580862485322	-34.691679680826645	-43.88741390041346	-53.82882324594815	-64.2578969477235
-9.649999990054933	-1.299999998660251	-1.299999998660251	-1.299999998660251	-5.36044300920667	-14.658885829404397	-24.571580862691437	-34.491679681032764	-43.687413900619575	-53.62882324615427	-64.0578969479296
-9.54999999015799	-1.099999998866366	-1.099999998866366	-1.099999998866366	-5.160443009412785	-14.458885829610512	-24.371580862897552	-34.291679681238875	-43.48741390082569	-53.42882324636038	-63.857896948135725
-9.449999990261048	-0.8999999990724845	-0.8999999990724845	-0.8999999990724845	-4.960443009618904	-14.25888582981663	-24.17158086310367	-34.091679681444994	-43.28741390103181	-53.2288232465665	-63.65789694834184
-9.349999990364108	-0.6999999992785995	-0.6999999992785995	-0.6999999992785995	-4.760443009825019	-14.058885830022746	-23.971580863309786	-33.89167968165111	-43.08741390123792	-53.02882324677262	-63.457896948547955
-9.249999990467163	-0.4999999994847144	-0.4999999994847144	-0.4999999994847144	-4.5604430100311335	-13.85888583022886	-23.7715808635159	-33.691679681857224	-42.88741390144404	-52.82882324697873	-63.25789694875407
-9.149999990570223	-0.29999999969082936	-0.29999999969082936	-0.29999999969082936	-4.3604430102372485	-13.658885830434976	-23.571580863722016	-33.491679682063335	-42.68741390165016	-52.62882324718484	-63.05789694896019
-9.049999990673278	-0.0999999998969443	-0.0999999998969443	-0.0999999998969443	-4.160443010443363	-13.45888583064109	-23.37158086392813	-33.291679682269454	-42.48741390185627	-52.42882324739096	-62.8578969491663
-8.949999990776337	0.0	0.0	0.0	-4.060443010546419	-13.358885830744146	-23.271580864031186	-33.19167968237251	-42.38741390195933	-52.328823247494014	-62.75789694926936
-8.849999990879393	0.0	0.0	0.0	-5.236441962829949	-14.142021920819598	-24.086603430890687	-34.053253558384455	-43.19862865150828	-53.171688907396366	-63.59848386120054
-8.749999990982452	0.0	0.0	0.0	-5.594711379601839	-14.906705405304521	-24.97137599543204	-34.928830764238114	-44.091869863096285	-53.961904039373195	-64.49389357897573
-8.64999999108551	0.0	0.0	0.0	-6.56244409369372	-15.744384991148205	-25.74844159860603	-35.84930351056241	-44.89347122748401	-54.775326479893025	-65.29667177394738
-8.549999991188567	0.0	0.0	0.0	-7.236339342754344	-16.49279965034408	-26.563198969724365	-36.75348070065098	-45.583585018564776	-55.63056667073963	-66.15479198831757
-8.449999991291627	0.0	0.0	0.0	-7.917171988845776	-17.280319281065715	-27.29847390857997	-37.540538623682636	-46.39134281943905	-56.47931625159851	-66.92808882395221
-8.349999991394682	0.0	0.0	0.0	-8.676587243566487	-18.01144349024024	-28.224729240792854	-38.27995026835491	-47.235269350118855	-57.324779933865756	-67.67471457623166
-8.249999991497742	0.0	0.0	0.0	-9.482654967296842	-18.79780570362537	-28.94125459240187	-39.05000681736492	-48.078225612549815	-58.06462866541325	-68.51846058737563
