T	e_ref	e_mcx	e_exact
1.4	-1.969075	-1.970275	-1.9680896875930383
1.8	-1.8498125	-1.8682875	-1.8592028004685084
2.269	-1.4673875	-1.5120875	-1.4918013791129388
3.0	-0.8416625	-0.839375	-0.8413154278519152
3.8	-0.6015125	-0.5884625	-0.5960018176120068
