energy,logdos
-512,0.6931471805599453
-504,6.238324625039508
-500,6.931471805599453
-496,11.124907270465785
-492,12.49981630936055
-488,15.681679668125163
-484,17.40935115546242
-480,20.050190800300957
-476,21.96055949829752
-472,24.294626238157452
-468,26.28033183172759
-464,28.439343954405288
-460,30.437767683624088
-456,32.49357375652519
-452,34.47406193614011
-448,36.463952397339376
-444,38.414874330245745
-440,40.357859238487904
-436,42.27694281446804
-432,44.18312937407131
-428,46.071903457622035
-424,47.94727934993546
-420,49.808444507621985
-416,51.657089256995896
-412,53.493471127526426
-408,55.318516410800164
-404,57.13273261713206
-400,58.936778658210045
-396,60.73118446210394
-392,62.5164994850079
-388,64.29322678681525
-384,66.06186136680788
-380,67.82287666255027
-376,69.57673403274329
-372,71.32387916615957
-368,73.06474185982611
-364,74.79973118402586
-360,76.52922950069645
-356,78.25358388394125
-352,79.97309606244949
-348,81.68801126189285
-344,83.39850701705005
-340,85.10468298798811
-336,86.80655291855251
-332,88.50403970053166
-328,90.19697422501594
-324,91.88509828671154
-320,93.56807135645195
-316,95.24548062131979
-312,96.9168533857013
-308,98.5816707704979
-304,100.2393816488159
-300,101.88941588899
-296,103.53119619443459
-292,105.16414808369065
-288,106.78770779915486
-284,108.40132813912783
-280,110.00448236011931
-276,111.59666639283266
-272,113.17739966262099
-268,114.74622481447787
-264,116.30270662570317
-260,117.84643035691269
-256,119.37699975240116
-252,120.89403485991541
-248,122.39716980135373
-244,123.88605059177769
-240,125.36033307520982
-236,126.81968102203525
-232,128.2637644140437
-228,129.6922579286547
-224,131.10483962302368
-220,132.5011898109122
-216,133.8809901198689
-212,135.24392271292297
-208,136.58966965722797
-204,137.91791242155801
-200,139.22833148495178
-196,140.520606039867
-192,141.7944137747341
-188,143.04943072259906
-184,144.2853311644778
-180,145.50178757798173
-176,146.69847062363527
-172,147.87504916301972
-168,149.0311903044078
-164,150.16655947287734
-160,151.2808205030071
-156,152.3736357531701
-152,153.44466624116725
-148,154.4935718015084
-144,155.52001126507108
-140,156.52364266217555
-136,157.50412345032754
-132,158.46111076801597
-128,159.3942617160277
-124,160.3032336677649
-120,161.1876846100294
-116,162.04727351567857
-112,162.88166074945667
-108,163.69050850816697
-104,164.47348129616745
-100,165.23024643694578
-96,165.96047462125256
-92,166.66384049194244
-88,167.34002326528767
-84,167.98870738808563
-80,168.60958322938143
-76,169.202347805069
-72,169.7667055330223
-68,170.3023690157507
-64,170.80905984687374
-60,171.28650943698688
-56,171.73445985375224
-52,172.15266467031682
-48,172.54088981545604
-44,172.89891441818511
-40,173.22653163900068
-36,173.52354947943638
-32,173.78979156126428
-28,174.02509786647514
-24,174.2293254291445
-20,174.40234897045715
-16,174.54406146853117
-12,174.65437465525878
-8,174.73321943316083
-4,174.78054620622473
0,174.79632511983894
4,174.78054620622473
8,174.73321943316083
12,174.65437465525878
16,174.54406146853117
20,174.40234897045715
24,174.2293254291445
28,174.02509786647514
32,173.78979156126428
36,173.52354947943638
40,173.22653163900068
44,172.89891441818511
48,172.54088981545604
52,172.15266467031682
56,171.73445985375224
60,171.28650943698688
64,170.80905984687374
68,170.3023690157507
72,169.7667055330223
76,169.202347805069
80,168.60958322938143
84,167.98870738808563
88,167.34002326528767
92,166.66384049194244
96,165.96047462125256
100,165.23024643694578
104,164.47348129616745
108,163.69050850816697
112,162.88166074945667
116,162.04727351567857
120,161.1876846100294
124,160.3032336677649
128,159.3942617160277
132,158.46111076801597
136,157.50412345032754
140,156.52364266217555
144,155.52001126507108
148,154.4935718015084
152,153.44466624116725
156,152.3736357531701
160,151.2808205030071
164,150.16655947287734
168,149.0311903044078
172,147.87504916301972
176,146.69847062363527
180,145.50178757798173
184,144.2853311644778
188,143.04943072259906
192,141.7944137747341
196,140.520606039867
200,139.22833148495178
204,137.91791242155801
208,136.58966965722797
212,135.24392271292297
216,133.8809901198689
220,132.5011898109122
224,131.10483962302368
228,129.6922579286547
232,128.2637644140437
236,126.81968102203525
240,125.36033307520982
244,123.88605059177769
248,122.39716980135373
252,120.89403485991541
256,119.37699975240116
260,117.84643035691269
264,116.30270662570317
268,114.74622481447787
272,113.17739966262099
276,111.59666639283266
280,110.00448236011931
284,108.40132813912783
288,106.78770779915486
292,105.16414808369065
296,103.53119619443459
300,101.88941588899
304,100.2393816488159
308,98.5816707704979
312,96.9168533857013
316,95.24548062131979
320,93.56807135645195
324,91.88509828671154
328,90.19697422501594
332,88.50403970053166
336,86.80655291855251
340,85.10468298798811
344,83.39850701705005
348,81.68801126189285
352,79.97309606244949
356,78.25358388394125
360,76.52922950069645
364,74.79973118402586
368,73.06474185982611
372,71.32387916615957
376,69.57673403274329
380,67.82287666255027
384,66.06186136680788
388,64.29322678681525
392,62.5164994850079
396,60.73118446210394
400,58.936778658210045
404,57.13273261713206
408,55.318516410800164
412,53.493471127526426
416,51.657089256995896
420,49.808444507621985
424,47.94727934993546
428,46.071903457622035
432,44.18312937407131
436,42.27694281446804
440,40.357859238487904
444,38.414874330245745
448,36.463952397339376
452,34.47406193614011
456,32.49357375652519
460,30.437767683624088
464,28.439343954405288
468,26.28033183172759
472,24.294626238157452
476,21.96055949829752
480,20.050190800300957
484,17.40935115546242
488,15.681679668125163
492,12.49981630936055
496,11.124907270465785
500,6.931471805599453
504,6.238324625039508
512,0.6931471805599453
