energy,logdos
-800,0.6931471805599453
-792,6.684611727667927
-788,7.3777589082278725
-784,12.005179703150784
-780,13.384112067829605
-776,16.97009103212658
-772,18.719480782137992
-768,21.716736919239988
-764,23.680344263847942
-760,26.316114588360403
-756,28.391586729944766
-752,30.803127282940974
-748,32.9225121117832
-744,35.193871174630914
-740,37.3161582150991
-736,39.49696794361746
-732,41.60066455667736
-728,43.719168805546076
-724,45.7950312395126
-720,47.86707987963553
-716,49.912535953512645
-712,51.94723882784298
-708,53.96287167772616
-704,55.96582872264566
-700,57.9534687687221
-696,59.9284743036654
-692,61.89028837320682
-688,63.84017877026861
-684,65.7782899999222
-680,67.70535189606099
-676,69.62170987951369
-672,71.52787789410024
-668,73.42423381205398
-664,75.31119185197178
-660,77.18911165051445
-656,79.05835061850708
-652,80.91923859730302
-648,82.77209378948014
-644,84.61721661087451
-640,86.45489492832662
-636,88.28540322764435
-632,90.10900477218823
-628,91.92595212841047
-624,93.73648842209148
-620,95.54084814557447
-616,97.33925810680576
-612,99.13193822359318
-608,100.91910229533289
-604,102.70095866662075
-600,104.47771079391546
-596,106.24955767194625
-592,108.0166940955119
-588,109.77931071845602
-584,111.53759387603064
-580,113.2917251366011
-576,115.0418805552633
-572,116.78822961083814
-568,118.53093382136471
-564,120.2701450504051
-560,122.0060035369956
-556,123.73863570451046
-552,125.46815182637553
-548,127.19464364722867
-544,128.9181820743283
-540,130.6388150633527
-536,132.3565658232396
-532,134.07143145522713
-528,135.7833821217188
-524,137.49236081221926
-520,139.19828373877317
-516,140.90104135540344
-512,142.60049995874402
-508,144.2965037940428
-504,145.98887756498294
-500,147.67742922929784
-496,149.36195295567236
-492,151.04223212045028
-488,152.71804223374133
-484,154.38915370152674
-480,156.05533435092224
-476,157.71635166757204
-472,159.37197471526227
-468,161.0219757267871
-464,162.6661313709506
-460,164.3042237129118
-456,165.9360408938656
-452,167.5613775615777
-448,169.18003508602644
-444,170.79182159489412
-440,172.3965518624597
-436,173.99404708308447
-432,175.58413455739856
-428,177.16664731584407
-424,178.74142370068387
-420,180.30830692413647
-416,181.86714461707606
-412,183.41778837981968
-408,184.96009334394552
-404,186.49391775185688
-400,188.0191225589129
-396,189.53557106136722
-392,191.04312855205936
-388,192.54166200475746
-384,194.03103978722436
-380,195.51113140243856
-376,196.9818072569209
-372,198.4429384547698
-368,199.89439661577129
-364,201.33605371580254
-360,202.76778194767587
-356,204.18945360055545
-352,205.6009409561115
-348,207.00211619964344
-344,208.39285134449872
-340,209.77301816822384
-336,211.14248815901007
-332,212.50113247112577
-328,213.84882188816024
-324,215.1854267930349
-320,216.5108171438651
-316,217.8248624548765
-312,219.12743178169296
-308,220.4183937104168
-304,221.6976163500186
-300,222.96496732763703
-296,224.220313786468
-292,225.46352238598698
-288,226.69445930430837
-284,227.9129902425358
-280,229.11898043100058
-276,230.312294637322
-272,231.4927971762545
-268,232.6603519213125
-264,233.81482231818507
-260,234.95607139997028
-256,236.08396180427454
-252,237.1983557922327
-248,238.299115269516
-244,239.38610180940228
-240,240.45917667798855
-236,241.51820086163298
-232,242.56303509671557
-228,243.59353990181177
-224,244.60957561237416
-220,245.6110024180208
-216,246.59768040252825
-212,247.56946958662917
-208,248.5262299737135
-204,249.46782159853151
-200,250.39410457899578
-196,251.3049391711763
-192,252.20018582758064
-188,253.07970525880677
-184,253.9433584986509
-180,254.79100697274768
-176,255.62251257081266
-172,256.4377377225487
-168,257.2365454772696
-164,258.0187995872818
-160,258.7843645950566
-156,259.53310592420695
-152,260.2648899742735
-148,260.97958421930457
-144,261.67705731019834
-140,262.35717918075693
-136,263.0198211573793
-132,263.66485607230067
-128,264.2921583802591
-124,264.9016042784472
-120,265.4930718295799
-116,266.06644108788123
-112,266.62159422776534
-108,267.1584156749573
-104,267.6767922397688
-100,268.1766132522151
-96,268.65777069862787
-92,269.120159359389
-88,269.563676947381
-84,269.98822424672136
-80,270.3937052513207
-76,270.7800273027791
-72,271.14710122711267
-68,271.49484146977966
-64,271.8231662284613
-60,272.1319975830345
-56,272.42126162216624
-52,272.6908885659522
-48,272.94081288402043
-44,273.17097340852484
-40,273.38131344146126
-36,273.57178085575254
-32,273.74232818956835
-28,273.8929127333688
-24,274.0234966091916
-20,274.1340468417371
-16,274.22453542084304
-12,274.2949393549892
-8,274.3452407155149
-4,274.37542667128895
0,274.38548951362475
4,274.37542667128895
8,274.3452407155149
12,274.2949393549892
16,274.22453542084304
20,274.1340468417371
24,274.0234966091916
28,273.8929127333688
32,273.74232818956835
36,273.57178085575254
40,273.38131344146126
44,273.17097340852484
48,272.94081288402043
52,272.6908885659522
56,272.42126162216624
60,272.1319975830345
64,271.8231662284613
68,271.49484146977966
72,271.14710122711267
76,270.7800273027791
80,270.3937052513207
84,269.98822424672136
88,269.563676947381
92,269.120159359389
96,268.65777069862787
100,268.1766132522151
104,267.6767922397688
108,267.1584156749573
112,266.62159422776534
116,266.06644108788123
120,265.4930718295799
124,264.9016042784472
128,264.2921583802591
132,263.66485607230067
136,263.0198211573793
140,262.35717918075693
144,261.67705731019834
148,260.97958421930457
152,260.2648899742735
156,259.53310592420695
160,258.7843645950566
164,258.0187995872818
168,257.2365454772696
172,256.4377377225487
176,255.62251257081266
180,254.79100697274768
184,253.9433584986509
188,253.07970525880677
192,252.20018582758064
196,251.3049391711763
200,250.39410457899578
204,249.46782159853151
208,248.5262299737135
212,247.56946958662917
216,246.59768040252825
220,245.6110024180208
224,244.60957561237416
228,243.59353990181177
232,242.56303509671557
236,241.51820086163298
240,240.45917667798855
244,239.38610180940228
248,238.299115269516
252,237.1983557922327
256,236.08396180427454
260,234.95607139997028
264,233.81482231818507
268,232.6603519213125
272,231.4927971762545
276,230.312294637322
280,229.11898043100058
284,227.9129902425358
288,226.69445930430837
292,225.46352238598698
296,224.220313786468
300,222.96496732763703
304,221.6976163500186
308,220.4183937104168
312,219.12743178169296
316,217.8248624548765
320,216.5108171438651
324,215.1854267930349
328,213.84882188816024
332,212.50113247112577
336,211.14248815901007
340,209.77301816822384
344,208.39285134449872
348,207.00211619964344
352,205.6009409561115
356,204.18945360055545
360,202.76778194767587
364,201.33605371580254
368,199.89439661577129
372,198.4429384547698
376,196.9818072569209
380,195.51113140243856
384,194.03103978722436
388,192.54166200475746
392,191.04312855205936
396,189.53557106136722
400,188.0191225589129
404,186.49391775185688
408,184.96009334394552
412,183.41778837981968
416,181.86714461707606
420,180.30830692413647
424,178.74142370068387
428,177.16664731584407
432,175.58413455739856
436,173.99404708308447
440,172.3965518624597
444,170.79182159489412
448,169.18003508602644
452,167.5613775615777
456,165.9360408938656
460,164.3042237129118
464,162.6661313709506
468,161.0219757267871
472,159.37197471526227
476,157.71635166757204
480,156.05533435092224
484,154.38915370152674
488,152.71804223374133
492,151.04223212045028
496,149.36195295567236
500,147.67742922929784
504,145.98887756498294
508,144.2965037940428
512,142.60049995874402
516,140.90104135540344
520,139.19828373877317
524,137.49236081221926
528,135.7833821217188
532,134.07143145522713
536,132.3565658232396
540,130.6388150633527
544,128.9181820743283
548,127.19464364722867
552,125.46815182637553
556,123.73863570451046
560,122.0060035369956
564,120.2701450504051
568,118.53093382136471
572,116.78822961083814
576,115.0418805552633
580,113.2917251366011
584,111.53759387603064
588,109.77931071845602
592,108.0166940955119
596,106.24955767194625
600,104.47771079391546
604,102.70095866662075
608,100.91910229533289
612,99.13193822359318
616,97.33925810680576
620,95.54084814557447
624,93.73648842209148
628,91.92595212841047
632,90.10900477218823
636,88.28540322764435
640,86.45489492832662
644,84.61721661087451
648,82.77209378948014
652,80.91923859730302
656,79.05835061850708
660,77.18911165051445
664,75.31119185197178
668,73.42423381205398
672,71.52787789410024
676,69.62170987951369
680,67.70535189606099
684,65.7782899999222
688,63.84017877026861
692,61.89028837320682
696,59.9284743036654
700,57.9534687687221
704,55.96582872264566
708,53.96287167772616
712,51.94723882784298
716,49.912535953512645
720,47.86707987963553
724,45.7950312395126
728,43.719168805546076
732,41.60066455667736
736,39.49696794361746
740,37.3161582150991
744,35.193871174630914
748,32.9225121117832
752,30.803127282940974
756,28.391586729944766
760,26.316114588360403
764,23.680344263847942
768,21.716736919239988
772,18.719480782137992
776,16.97009103212658
780,13.384112067829605
784,12.005179703150784
788,7.3777589082278725
792,6.684611727667927
800,0.6931471805599453
